currency,conversion rate,,,,
AED,3.67394952,,,,AFN
AFN,85.79813761,,,,AMD
ALL,103.8792413,,,,AOA
AMD,492.4577997,,,,ARS
ANG,1.80302287,,,,AZN
AOA,627.1290323,,,,BDT
ARS,98.74887328,,,,BIF
AUD,1.36809734,,,,BOB
AWG,1.82776289,,,,BTN
AZN,1.69915242,,,,BYR
BAM,1.67558716,,,,CDF
BBD,2.00353721,,,,CNY
BDT,85.20965748,,,,COP
BGN,1.66157998,,,,CVE
BHD,0.37788089,,,,DJF
BIF,"2,005.26",,,,DOP
BND,1.35515126,,,,DZD
BOB,6.92155891,,,,EGP
BRL,5.24783483,,,,ERN
BSD,1.0105783,,,,ETB
BWP,11.09646119,,,,GEL
BYN,2.48422021,,,,GHS
BZD,2.03538711,,,,GMD
CAD,1.26522723,,,,GNF
CDF,"2,005.26",,,,GTQ
CHF,0.92616994,,,,HNL
CLP,783.3501737,,,,HTG
CNY,6.45129559,,,,IDR
COP,"3,839.98",,,,INR
CRC,627.4795226,,,,IQD
CUP,1.0105783,,,,IRR
CVE,94.60340633,,,,JOD
CZK,21.48691727,,,,JPY
DJF,179.7679042,,,,KES
DKK,6.31693001,,,,KGS
DOP,56.92456149,,,,KHR
DZD,136.0631222,,,,KZT
EGP,15.73930744,,,,LAK
ERN,15.22396241,,,,LBP
ETB,46.67707083,,,,LRD
EUR,0.84960507,,,,LSL
FJD,2.10685451,,,,LYD
GBP,0.72431563,,,,MGA
GEL,3.10965193,,,,MWK
GHS,6.10871956,,,,USD
GIP,0.72719943,,,,XAF
GMD,52.61434371,,,,XOF
GNF,"9,868.53",,,,
GTQ,7.81076738,,,,
GYD,211.2578104,,,,
HKD,7.78373096,,,,
HNL,24.34690044,,,,
HRK,6.37881567,,,,
HTG,98.93638677,,,,
HUF,297.8940038,,,,
IDR,"14,242.73",,,,
ILS,3.20835671,,,,
INR,73.5131706,,,,
IQD,"1,461.10",,,,
IRR,"41,955.51",,,,
ISK,128.5132037,,,,
JMD,150.7054264,,,,
JOD,0.7107081,,,,
JPY,109.7275565,,,,
KES,111.0787339,,,,
KGS,84.82195113,,,,
KHR,"4,118.86",,,,
KMF,420.9375338,,,,
KRW,"1,175.31",,,,
KWD,0.30171428,,,,
KZT,426.2416837,,,,
LAK,"9,672.14",,,,
LBP,"1,512.66",,,,
LKR,200.6937189,,,,
LRD,173.5803571,,,,
LSL,14.45965043,,,,
LYD,4.51742926,,,,
MAD,8.92091644,,,,
MDL,17.64545405,,,,
MGA,"3,963.51",,,,
MKD,52.65923588,,,,
MMK,"1,871.13",,,,
MNT,"2,878.02",,,,
MOP,8.0970429,,,,
MRO,36.3396257,,,,
MRU,36.68113208,,,,
MUR,43.29844098,,,,
MVR,15.60899237,,,,
MWK,820.8148617,,,,
MXN,19.90169429,,,,
MYR,4.16420577,,,,
MZN,64.69550749,,,,
NAD,14.45965043,,,,
NGN,412.8045843,,,,
NIO,35.28506901,,,,
NOK,8.61336753,,,,
NPR,118.327006,,,,
NZD,1.41041295,,,,
OMR,0.38625552,,,,
PAB,1.0105783,,,,
PEN,4.11446821,,,,
PGK,3.51218241,,,,
PHP,49.91186291,,,,
PKR,168.4021966,,,,
PLN,3.88871764,,,,
PYG,"6,942.46",,,,
QAR,3.65317249,,,,
RON,4.20447579,,,,
RSD,99.57958205,,,,
RUB,72.49751745,,,,
RWF,"1,024.83",,,,
SAR,3.75241091,,,,
SBD,8.13941804,,,,
SCR,13.14469236,,,,
SDG,446.9195402,,,,
SEK,8.62637885,,,,
SGD,1.34484125,,,,
SLL,"10,537.13",,,,
SOS,584.1646635,,,,
SRD,21.63717307,,,,
SSP,179.6101257,,,,
STN,21.15451578,,,,
SVC,8.84083674,,,,
SYP,"2,592.13",,,,
SZL,14.45965043,,,,
THB,33.08901808,,,,
TJS,11.33938052,,,,
TMT,3.49583062,,,,
TND,2.78757583,,,,
TOP,2.27300362,,,,
TRY,8.51937283,,,,
TTD,6.85749559,,,,
TWD,27.73818287,,,,
TZS,"2,342.29",,,,
UAH,26.72075719,,,,
UGX,"3,563.89",,,,
UYU,42.88413117,,,,
UZS,"10,681.25",,,,
VES,"4,050,208.33",,,,
VND,"22,770.27",,,,
VUV,111.8037784,,,,
WST,2.59351654,,,,
XAF,558.9577313,,,,
XCD,2.73451016,,,,
XOF,558.6218615,,,,
XPF,101.9695261,,,,
YER,252.6938325,,,,
ZAR,14.5586633,,,,
ZMW,16.50339559,,,,
